,pClass0,pClass1,pClass2,Male,Female,Cabin,SEmberked,CEmberked,QEmberked,Age,SibSp,Parch,Fare
0,0,0,1,0,1,4,0,1,0,34.5,0,0,7.8292
1,0,0,1,1,0,4,0,0,1,47.0,1,0,7.0
2,0,1,0,0,1,4,0,1,0,62.0,0,0,9.6875
3,0,0,1,0,1,4,0,0,1,27.0,0,0,8.6625
4,0,0,1,1,0,4,0,0,1,22.0,1,1,12.2875
5,0,0,1,0,1,4,0,0,1,14.0,0,0,9.225
6,0,0,1,1,0,4,0,1,0,30.0,0,0,7.6292
7,0,1,0,0,1,4,0,0,1,26.0,1,1,29.0
8,0,0,1,1,0,4,1,0,0,18.0,0,0,7.2292
9,0,0,1,0,1,4,0,0,1,21.0,2,0,24.15
10,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.8958
11,1,0,0,0,1,4,0,0,1,46.0,0,0,26.0
12,1,0,0,1,0,6,0,0,1,23.0,1,0,82.2667
13,0,1,0,0,1,4,0,0,1,63.0,1,0,26.0
14,1,0,0,1,0,3,0,0,1,47.0,1,0,61.175
15,0,1,0,1,0,4,1,0,0,24.0,1,0,27.7208
16,0,1,0,0,1,4,0,1,0,35.0,0,0,12.35
17,0,0,1,0,1,4,1,0,0,21.0,0,0,7.225
18,0,0,1,1,0,4,0,0,1,27.0,1,0,7.925
19,0,0,1,1,0,4,1,0,0,45.0,0,0,7.225
20,1,0,0,0,1,4,1,0,0,55.0,1,0,59.4
21,0,0,1,0,1,4,0,0,1,9.0,0,1,3.1708
22,1,0,0,1,0,4,0,0,1,30.272590361445783,0,0,31.6833
23,1,0,0,0,1,4,1,0,0,21.0,0,1,61.3792
24,1,0,0,1,0,6,1,0,0,48.0,1,3,262.375
25,0,0,1,0,1,4,0,0,1,50.0,1,0,14.5
26,1,0,0,1,0,6,1,0,0,22.0,0,1,61.9792
27,0,0,1,0,1,4,1,0,0,22.5,0,0,7.225
28,1,0,0,0,1,7,0,0,1,41.0,0,0,30.5
29,0,0,1,0,1,4,1,0,0,30.272590361445783,2,0,21.6792
30,0,1,0,0,1,4,0,0,1,50.0,1,0,26.0
31,0,1,0,0,1,4,0,0,1,24.0,2,0,31.5
32,0,0,1,1,0,4,0,0,1,33.0,1,2,20.575
33,0,0,1,1,0,4,0,0,1,30.272590361445783,1,2,23.45
34,1,0,0,0,1,5,1,0,0,30.0,1,0,57.75
35,0,0,1,0,1,4,1,0,0,18.5,0,0,7.2292
36,0,0,1,1,0,4,0,0,1,30.272590361445783,0,0,8.05
37,0,0,1,1,0,4,0,0,1,21.0,0,0,8.6625
38,0,0,1,0,1,4,0,0,1,25.0,0,0,9.5
39,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,56.4958
40,0,0,1,0,1,4,1,0,0,39.0,0,1,13.4167
41,1,0,0,0,1,4,0,0,1,30.272590361445783,0,0,26.55
42,0,0,1,0,1,4,0,0,1,41.0,0,0,7.85
43,0,1,0,1,0,4,0,0,1,30.0,0,0,13.0
44,1,0,0,1,0,4,0,0,1,45.0,1,0,52.5542
45,0,0,1,0,1,4,0,0,1,25.0,0,0,7.925
46,1,0,0,0,1,7,1,0,0,45.0,0,0,29.7
47,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
48,1,0,0,1,0,4,1,0,0,60.0,0,0,76.2917
49,0,0,1,1,0,4,0,0,1,36.0,0,2,15.9
50,1,0,0,0,1,5,0,0,1,24.0,1,0,60.0
51,0,1,0,0,1,4,1,0,0,27.0,0,0,15.0333
52,0,1,0,1,0,4,0,0,1,20.0,2,1,23.0
53,1,0,0,1,0,5,0,0,1,28.0,3,2,263.0
54,0,1,0,0,1,4,1,0,0,30.272590361445783,0,0,15.5792
55,0,0,1,0,1,4,0,1,0,10.0,4,1,29.125
56,0,0,1,0,1,4,0,0,1,35.0,0,0,7.8958
57,0,0,1,0,1,1,0,0,1,25.0,0,0,7.65
58,0,0,1,0,1,4,0,0,1,30.272590361445783,1,0,16.1
59,1,0,0,1,0,6,1,0,0,36.0,0,0,262.375
60,0,0,1,0,1,4,0,0,1,17.0,0,0,7.8958
61,0,1,0,0,1,4,0,0,1,32.0,0,0,13.5
62,0,0,1,0,1,4,0,0,1,18.0,0,0,7.75
63,0,0,1,1,0,4,0,1,0,22.0,0,0,7.725
64,1,0,0,0,1,6,1,0,0,13.0,2,2,262.375
65,0,1,0,1,0,4,0,0,1,30.272590361445783,0,0,21.0
66,0,0,1,1,0,4,0,1,0,18.0,0,0,7.8792
67,1,0,0,0,1,4,0,0,1,47.0,0,0,42.4
68,1,0,0,0,1,5,1,0,0,31.0,0,0,28.5375
69,1,0,0,1,0,5,0,0,1,60.0,1,4,263.0
70,0,0,1,1,0,4,0,1,0,24.0,0,0,7.75
71,0,0,1,0,1,4,0,0,1,21.0,0,0,7.8958
72,0,0,1,1,0,4,0,0,1,29.0,0,0,7.925
73,1,0,0,0,1,4,1,0,0,28.5,0,0,27.7208
74,1,0,0,1,0,5,1,0,0,35.0,0,0,211.5
75,1,0,0,0,1,5,1,0,0,32.5,0,0,211.5
76,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,8.05
77,1,0,0,1,0,5,0,0,1,55.0,2,0,25.7
78,0,1,0,0,1,4,0,0,1,30.0,0,0,13.0
